application_id,student_id,school_id,application_date,grade,status
APP000083,STU009388,SCH013,2024-01-23 00:00:00,Grade 9,Under Review
APP000084,STU021346,SCH096,2022-06-21 00:00:00,Grade 7,Accepted
APP000085,STU018923,SCH093,2022-07-09 00:00:00,Grade 11,Rejected
APP000086,STU000205,SCH039,2023-11-29 00:00:00,Grade 9,Applied
APP000087,STU010270,SCH069,2025-05-08 00:00:00,Grade 9,Accepted
APP000088,STU024780,SCH066,2021-07-08 00:00:00,Grade 8,Accepted
APP000089,STU000276,SCH023,2023-03-30 00:00:00,Grade 11,Accepted
APP000090,STU021793,SCH061,2024-04-01 00:00:00,Grade 8,Applied
APP000091,STU021784,SCH014,2023-07-16 00:00:00,Grade 7,Applied
APP000092,STU022857,SCH091,2025-02-08 00:00:00,Grade 11,Accepted
APP000093,STU017435,SCH033,2026-01-14 00:00:00,Grade 6,Under Review
APP000094,STU023517,SCH077,2023-03-01 00:00:00,Grade 6,Applied
APP000095,STU010336,SCH013,2025-09-25 00:00:00,Grade 8,Applied
APP000096,STU020559,SCH096,2024-03-05 00:00:00,Grade 6,Accepted
APP000097,STU008327,SCH091,2023-12-13 00:00:00,Grade 7,Applied
APP000098,STU016064,SCH006,2023-10-12 00:00:00,Grade 7,Rejected
APP000099,STU001664,SCH081,2022-10-02 00:00:00,Grade 7,Under Review
APP000100,STU001518,SCH011,2025-04-15 00:00:00,Grade 11,Applied
APP000101,STU023107,SCH077,2021-11-05 00:00:00,Grade 11,Under Review
APP000102,STU002466,SCH037,2024-06-20 00:00:00,Grade 8,Accepted
APP000103,STU006299,SCH063,2026-01-14 00:00:00,Grade 9,Rejected
APP000104,STU020034,SCH062,2021-03-04 00:00:00,Grade 10,Rejected
APP000105,STU020756,SCH042,2025-01-08 00:00:00,Grade 11,Applied
APP000106,STU016143,SCH054,2024-05-09 00:00:00,Grade 6,Accepted
APP000107,STU013569,SCH095,2022-01-08 00:00:00,Grade 11,Accepted
APP000108,STU006586,SCH056,2024-08-28 00:00:00,Grade 10,Accepted
APP000109,STU011705,SCH096,2025-09-14 00:00:00,Grade 10,Under Review
APP000110,STU008398,SCH046,2025-04-16 00:00:00,Grade 11,Applied
APP000111,STU002668,SCH018,2023-12-30 00:00:00,Grade 8,Accepted
APP000112,STU015247,SCH075,2024-09-21 00:00:00,Grade 10,Applied
APP000113,STU015981,SCH089,2025-01-15 00:00:00,Grade 7,Under Review
APP000114,STU004039,SCH011,2026-06-30 00:00:00,Grade 9,Applied
APP000115,STU016490,SCH072,2025-10-02 00:00:00,Grade 9,Applied
APP000116,STU009385,SCH039,2024-07-19 00:00:00,Grade 8,Rejected
APP000117,STU000555,SCH088,2024-07-28 00:00:00,Grade 6,Applied
APP000118,STU010552,SCH040,2026-08-02 00:00:00,Grade 8,Accepted
APP000119,STU018666,SCH080,2025-12-03 00:00:00,Grade 8,Applied
APP000120,STU008551,SCH064,2023-03-10 00:00:00,Grade 11,Accepted
APP000121,STU014651,SCH025,2025-10-10 00:00:00,Grade 9,Applied
APP000122,STU017539,SCH064,2023-01-30 00:00:00,Grade 9,Applied
APP000123,STU019858,SCH046,2024-08-02 00:00:00,Grade 11,Accepted
APP000124,STU020692,SCH079,2026-08-11 00:00:00,Grade 7,Under Review
APP000125,STU006064,SCH003,2022-10-07 00:00:00,Grade 7,Applied
APP000126,STU009912,SCH035,2021-10-18 00:00:00,Grade 11,Under Review
APP000127,STU004243,SCH100,2024-12-09 00:00:00,Grade 9,Accepted
APP000128,STU024603,SCH047,2026-03-04 00:00:00,Grade 11,Accepted
APP000129,STU014601,SCH069,2021-02-14 00:00:00,Grade 9,Accepted
APP000130,STU009222,SCH034,2024-03-30 00:00:00,Grade 11,Applied
APP000131,STU003375,SCH015,2024-04-19 00:00:00,Grade 11,Rejected
APP000132,STU000088,SCH019,2025-10-15 00:00:00,Grade 6,Under Review
APP000133,STU016758,SCH042,2026-07-08 00:00:00,Grade 6,Under Review
APP000134,STU008504,SCH095,2022-09-23 00:00:00,Grade 6,Under Review
APP000135,STU007152,SCH009,2022-10-03 00:00:00,Grade 7,Applied
APP000136,STU003678,SCH066,2022-07-20 00:00:00,Grade 6,Accepted
APP000137,STU009243,SCH036,2025-02-06 00:00:00,Grade 7,Accepted
APP000138,STU001514,SCH072,2026-01-14 00:00:00,Grade 7,Under Review
APP000139,STU013859,SCH070,2021-02-20 00:00:00,Grade 11,Under Review
APP000140,STU009601,SCH091,2021-08-13 00:00:00,Grade 8,Applied
APP000141,STU006911,SCH057,2023-08-15 00:00:00,Grade 6,Applied
APP000142,STU000745,SCH011,2021-05-12 00:00:00,Grade 7,Applied
APP000143,STU003647,SCH063,2023-07-16 00:00:00,Grade 10,Rejected
APP000144,STU009793,SCH016,2022-07-28 00:00:00,Grade 7,Accepted
APP000145,STU019831,SCH086,2026-02-20 00:00:00,Grade 8,Accepted
APP000146,STU010189,SCH053,2022-05-17 00:00:00,Grade 7,Accepted
APP000147,STU010845,SCH022,2024-05-21 00:00:00,Grade 9,Accepted
APP000148,STU023354,SCH030,2023-11-21 00:00:00,Grade 9,Applied
APP000149,STU020233,SCH086,2025-09-02 00:00:00,Grade 10,Applied
APP000150,STU016842,SCH006,2023-06-20 00:00:00,Grade 8,Accepted
APP000151,STU002466,SCH062,2025-04-30 00:00:00,Grade 11,Rejected
APP000152,STU019331,SCH056,2022-12-05 00:00:00,Grade 7,Accepted
APP000153,STU017251,SCH071,2026-03-20 00:00:00,Grade 10,Accepted
APP000154,STU021578,SCH001,2025-01-22 00:00:00,Grade 7,Applied
APP000155,STU011969,SCH073,2025-12-05 00:00:00,Grade 6,Applied
APP000156,STU004598,SCH029,2024-10-11 00:00:00,Grade 6,Under Review
APP000157,STU010213,SCH027,2024-10-17 00:00:00,Grade 9,Applied
APP000158,STU016052,SCH064,2025-10-26 00:00:00,Grade 9,Rejected
APP000159,STU006826,SCH057,2022-02-17 00:00:00,Grade 10,Accepted
APP000160,STU018995,SCH050,2023-07-20 00:00:00,Grade 6,Accepted
APP000161,STU008306,SCH026,2024-10-31 00:00:00,Grade 10,Applied
APP000162,STU017414,SCH016,2024-01-02 00:00:00,Grade 6,Applied
APP000163,STU010392,SCH064,2026-06-29 00:00:00,Grade 10,Rejected
APP000164,STU022382,SCH043,2026-07-18 00:00:00,Grade 6,Accepted
APP000165,STU003511,SCH065,2022-04-12 00:00:00,Grade 8,Under Review
APP000166,STU018078,SCH080,2024-10-18 00:00:00,Grade 10,Rejected
APP000167,STU018470,SCH060,2025-02-19 00:00:00,Grade 7,Accepted
APP000168,STU022981,SCH076,2023-09-13 00:00:00,Grade 11,Under Review
APP000169,STU018315,SCH034,2021-07-11 00:00:00,Grade 7,Accepted
APP000170,STU004305,SCH079,2025-05-30 00:00:00,Grade 7,Applied
APP000171,STU021211,SCH030,2021-11-25 00:00:00,Grade 6,Applied
APP000172,STU003935,SCH063,2023-03-27 00:00:00,Grade 11,Rejected
APP000173,STU021369,SCH044,2024-08-31 00:00:00,Grade 7,Under Review
APP000174,STU011439,SCH001,2021-10-24 00:00:00,Grade 9,Accepted
APP000175,STU000652,SCH074,2025-02-07 00:00:00,Grade 11,Under Review
APP000176,STU002663,SCH008,2024-02-15 00:00:00,Grade 8,Applied
APP000177,STU020421,SCH086,2021-09-16 00:00:00,Grade 8,Applied
APP000178,STU013749,SCH085,2023-08-12 00:00:00,Grade 9,Applied
APP000179,STU002086,SCH021,2022-07-15 00:00:00,Grade 9,Rejected
APP000180,STU007483,SCH019,2023-08-07 00:00:00,Grade 7,Rejected
APP000181,STU000190,SCH042,2021-03-17 00:00:00,Grade 11,Applied
APP000182,STU013485,SCH043,2023-02-27 00:00:00,Grade 8,Accepted
APP000183,STU021129,SCH015,2026-03-26 00:00:00,Grade 9,Rejected
APP000184,STU008516,SCH005,2024-12-22 00:00:00,Grade 7,Under Review
APP000185,STU008609,SCH059,2025-06-21 00:00:00,Grade 11,Applied
APP000186,STU008867,SCH002,2021-03-29 00:00:00,Grade 11,Under Review
APP000187,STU021386,SCH028,2026-02-19 00:00:00,Grade 11,Under Review
APP000188,STU024478,SCH061,2025-02-28 00:00:00,Grade 9,Accepted
APP000189,STU018293,SCH052,2026-05-04 00:00:00,Grade 8,Accepted
APP000190,STU020223,SCH011,2025-06-08 00:00:00,Grade 11,Accepted
APP000191,STU003314,SCH093,2021-06-29 00:00:00,Grade 10,Applied
APP000192,STU006261,SCH058,2024-05-21 00:00:00,Grade 10,Accepted
APP000193,STU014716,SCH007,2023-04-03 00:00:00,Grade 8,Applied
APP000194,STU003909,SCH021,2022-10-28 00:00:00,Grade 6,Accepted
APP000195,STU002832,SCH088,2023-10-22 00:00:00,Grade 8,Accepted
APP000196,STU003004,SCH040,2021-12-25 00:00:00,Grade 6,Rejected
APP000197,STU015100,SCH059,2023-02-20 00:00:00,Grade 9,Under Review
APP000198,STU007843,SCH077,2024-10-11 00:00:00,Grade 6,Accepted
APP000199,STU007112,SCH005,2021-11-08 00:00:00,Grade 7,Under Review
APP000200,STU013832,SCH094,2023-02-21 00:00:00,Grade 8,Applied
APP000201,STU009690,SCH100,2022-04-04 00:00:00,Grade 9,Accepted
APP000202,STU023515,SCH009,2025-04-11 00:00:00,Grade 11,Accepted
APP000203,STU021502,SCH085,2023-03-20 00:00:00,Grade 10,Applied
APP000204,STU014333,SCH096,2026-02-22 00:00:00,Grade 10,Applied
APP000205,STU006247,SCH009,2022-02-05 00:00:00,Grade 6,Applied
APP000206,STU003271,SCH042,2022-08-15 00:00:00,Grade 9,Applied
APP000207,STU011378,SCH026,2026-05-02 00:00:00,Grade 6,Applied
APP000208,STU012936,SCH079,2023-05-04 00:00:00,Grade 6,Accepted
APP000209,STU006896,SCH043,2022-05-13 00:00:00,Grade 7,Applied
APP000210,STU022242,SCH001,2021-07-27 00:00:00,Grade 8,Rejected
APP000211,STU021201,SCH022,2021-03-09 00:00:00,Grade 9,Under Review
APP000212,STU012809,SCH010,2023-09-26 00:00:00,Grade 9,Accepted
APP000213,STU015688,SCH029,2025-11-24 00:00:00,Grade 8,Accepted
APP000214,STU018196,SCH082,2021-10-16 00:00:00,Grade 8,Accepted
APP000215,STU000713,SCH075,2021-06-14 00:00:00,Grade 7,Applied
APP000216,STU014121,SCH100,2026-04-03 00:00:00,Grade 11,Applied
APP000217,STU014368,SCH084,2022-07-15 00:00:00,Grade 11,Applied
APP000218,STU013383,SCH007,2022-12-15 00:00:00,Grade 7,Under Review
APP000219,STU023287,SCH063,2023-06-06 00:00:00,Grade 6,Applied
APP000220,STU002478,SCH054,2026-08-30 00:00:00,Grade 6,Under Review
APP000221,STU007393,SCH098,2024-07-10 00:00:00,Grade 9,Accepted
APP000222,STU002602,SCH070,2024-03-01 00:00:00,Grade 7,Applied
APP000223,STU015808,SCH092,2021-01-19 00:00:00,Grade 9,Rejected
APP000224,STU002739,SCH020,2024-02-06 00:00:00,Grade 7,Under Review
APP000225,STU019694,SCH097,2023-07-20 00:00:00,Grade 6,Accepted
APP000226,STU014677,SCH084,2021-04-09 00:00:00,Grade 7,Under Review
APP000227,STU005997,SCH045,2025-12-02 00:00:00,Grade 6,Applied
APP000228,STU013451,SCH012,2023-07-12 00:00:00,Grade 7,Applied
APP000229,STU005196,SCH015,2024-02-17 00:00:00,Grade 11,Accepted
APP000230,STU024238,SCH049,2026-01-26 00:00:00,Grade 9,Applied
APP000231,STU005949,SCH086,2023-03-28 00:00:00,Grade 6,Applied
APP000232,STU016612,SCH038,2023-10-18 00:00:00,Grade 6,Applied
APP000233,STU022036,SCH045,2022-04-19 00:00:00,Grade 10,Accepted
APP000234,STU002695,SCH085,2021-03-19 00:00:00,Grade 8,Accepted
APP000235,STU002564,SCH036,2023-01-06 00:00:00,Grade 8,Accepted
APP000236,STU020321,SCH014,2023-03-28 00:00:00,Grade 7,Applied
APP000237,STU010776,SCH020,2022-03-07 00:00:00,Grade 11,Rejected
APP000238,STU010479,SCH004,2021-06-21 00:00:00,Grade 11,Accepted
APP000239,STU021099,SCH091,2023-07-06 00:00:00,Grade 11,Under Review
APP000240,STU024498,SCH032,2025-08-23 00:00:00,Grade 6,Applied
APP000241,STU024615,SCH044,2022-01-20 00:00:00,Grade 6,Accepted
APP000242,STU014152,SCH022,2023-06-24 00:00:00,Grade 6,Applied
APP000243,STU023256,SCH008,2023-05-26 00:00:00,Grade 7,Applied
APP000244,STU003483,SCH013,2025-12-17 00:00:00,Grade 10,Applied
APP000245,STU003247,SCH097,2024-10-17 00:00:00,Grade 8,Applied
APP000246,STU002684,SCH038,2025-06-21 00:00:00,Grade 11,Accepted
APP000247,STU004905,SCH097,2025-01-27 00:00:00,Grade 9,Accepted
APP000248,STU019140,SCH096,2024-09-11 00:00:00,Grade 8,Applied
APP000249,STU016289,SCH045,2025-05-29 00:00:00,Grade 11,Applied
APP000250,STU023213,SCH090,2022-01-05 00:00:00,Grade 9,Under Review
APP000251,STU015496,SCH074,2024-03-13 00:00:00,Grade 6,Applied
APP000252,STU004439,SCH087,2023-07-12 00:00:00,Grade 10,Accepted
APP000253,STU014319,SCH025,2026-05-12 00:00:00,Grade 10,Applied
APP000254,STU002895,SCH098,2022-05-16 00:00:00,Grade 11,Under Review
APP000255,STU023562,SCH003,2021-12-01 00:00:00,Grade 8,Rejected
APP000256,STU013672,SCH008,2023-06-12 00:00:00,Grade 10,Accepted
APP000257,STU021236,SCH010,2025-03-01 00:00:00,Grade 9,Accepted
APP000258,STU016193,SCH093,2024-12-16 00:00:00,Grade 9,Rejected
APP000259,STU018019,SCH013,2022-05-21 00:00:00,Grade 10,Applied
APP000260,STU000010,SCH023,2024-01-10 00:00:00,Grade 10,Accepted
APP000261,STU016747,SCH089,2022-08-30 00:00:00,Grade 8,Applied
APP000262,STU018484,SCH079,2023-08-30 00:00:00,Grade 11,Applied
APP000263,STU011607,SCH029,2023-12-29 00:00:00,Grade 7,Under Review
APP000264,STU023718,SCH047,2021-09-15 00:00:00,Grade 8,Under Review
APP000265,STU022126,SCH002,2022-10-12 00:00:00,Grade 11,Accepted
APP000266,STU004893,SCH076,2025-12-16 00:00:00,Grade 11,Applied
APP000267,STU018483,SCH068,2025-02-19 00:00:00,Grade 8,Applied
APP000268,STU017346,SCH023,2025-05-17 00:00:00,Grade 11,Applied
APP000269,STU005002,SCH039,2024-05-09 00:00:00,Grade 11,Accepted
APP000270,STU011099,SCH013,2022-01-31 00:00:00,Grade 9,Under Review
APP000271,STU017245,SCH019,2022-08-29 00:00:00,Grade 9,Applied
APP000272,STU002709,SCH052,2022-04-09 00:00:00,Grade 10,Under Review
APP000273,STU005931,SCH086,2024-11-05 00:00:00,Grade 11,Accepted
APP000274,STU013934,SCH071,2022-10-12 00:00:00,Grade 9,Under Review
APP000275,STU004195,SCH029,2024-07-09 00:00:00,Grade 6,Under Review
APP000276,STU006723,SCH001,2022-08-24 00:00:00,Grade 6,Under Review
APP000277,STU003448,SCH041,2021-12-17 00:00:00,Grade 9,Accepted
APP000278,STU015144,SCH073,2024-12-06 00:00:00,Grade 7,Under Review
APP000279,STU018821,SCH094,2025-03-05 00:00:00,Grade 11,Rejected
APP000280,STU019956,SCH007,2024-05-20 00:00:00,Grade 8,Accepted
APP000281,STU008744,SCH048,2025-12-27 00:00:00,Grade 6,Applied
APP000282,STU020215,SCH089,2025-08-27 00:00:00,Grade 9,Applied
APP000283,STU005921,SCH073,2022-08-06 00:00:00,Grade 6,Applied
APP000284,STU019064,SCH034,2022-12-05 00:00:00,Grade 11,Accepted
APP000285,STU024718,SCH095,2022-09-28 00:00:00,Grade 7,Accepted
APP000286,STU022974,SCH050,2025-10-24 00:00:00,Grade 9,Applied
APP000287,STU008843,SCH094,2025-12-19 00:00:00,Grade 8,Accepted
APP000288,STU010077,SCH100,2026-05-03 00:00:00,Grade 9,Under Review
APP000289,STU014779,SCH016,2022-02-14 00:00:00,Grade 8,Under Review
APP000290,STU011391,SCH081,2026-02-09 00:00:00,Grade 11,Applied
APP000291,STU009989,SCH072,2022-10-03 00:00:00,Grade 8,Accepted
APP000292,STU010600,SCH037,2024-04-01 00:00:00,Grade 8,Accepted
APP000293,STU000677,SCH003,2022-05-06 00:00:00,Grade 6,Accepted
APP000294,STU022569,SCH069,2022-03-17 00:00:00,Grade 10,Accepted
APP000295,STU014613,SCH067,2022-05-06 00:00:00,Grade 6,Accepted
APP000296,STU005588,SCH029,2025-02-16 00:00:00,Grade 6,Under Review
APP000297,STU016439,SCH064,2021-04-07 00:00:00,Grade 11,Under Review
APP000298,STU014109,SCH006,2024-10-11 00:00:00,Grade 7,Applied
APP000299,STU005605,SCH090,2022-12-30 00:00:00,Grade 7,Accepted
APP000300,STU020990,SCH048,2022-05-18 00:00:00,Grade 8,Rejected
APP000301,STU020885,SCH056,2021-10-18 00:00:00,Grade 6,Under Review
APP000302,STU024590,SCH095,2023-01-07 00:00:00,Grade 7,Under Review
APP000303,STU013746,SCH060,2022-06-27 00:00:00,Grade 8,Applied
APP000304,STU007302,SCH014,2024-01-24 00:00:00,Grade 6,Rejected
APP000305,STU011117,SCH006,2026-07-22 00:00:00,Grade 7,Rejected
APP000306,STU012068,SCH023,2025-01-14 00:00:00,Grade 8,Applied
APP000307,STU002004,SCH009,2026-02-09 00:00:00,Grade 6,Rejected
APP000308,STU017435,SCH086,2023-01-04 00:00:00,Grade 10,Under Review
APP000309,STU024202,SCH020,2026-05-16 00:00:00,Grade 11,Accepted
APP000310,STU006639,SCH079,2024-06-03 00:00:00,Grade 9,Accepted
APP000311,STU020419,SCH043,2021-09-24 00:00:00,Grade 6,Accepted
APP000312,STU014910,SCH018,2022-09-13 00:00:00,Grade 11,Applied
APP000313,STU014311,SCH028,2025-03-04 00:00:00,Grade 6,Under Review
APP000314,STU002296,SCH026,2021-05-05 00:00:00,Grade 11,Rejected
APP000315,STU007135,SCH094,2026-02-27 00:00:00,Grade 8,Applied
APP000316,STU010033,SCH007,2021-11-16 00:00:00,Grade 9,Accepted
APP000317,STU015135,SCH033,2022-12-23 00:00:00,Grade 8,Rejected
APP000318,STU024012,SCH081,2025-11-16 00:00:00,Grade 6,Under Review
APP000319,STU019668,SCH061,2023-06-16 00:00:00,Grade 10,Accepted
APP000320,STU017333,SCH066,2024-04-07 00:00:00,Grade 7,Applied
APP000321,STU006607,SCH072,2021-09-24 00:00:00,Grade 11,Applied
APP000322,STU017250,SCH084,2024-08-21 00:00:00,Grade 9,Rejected
APP000323,STU004640,SCH096,2023-10-22 00:00:00,Grade 6,Accepted
APP000324,STU015156,SCH004,2021-12-31 00:00:00,Grade 9,Applied
APP000325,STU024625,SCH071,2022-07-02 00:00:00,Grade 11,Under Review
APP000326,STU001188,SCH039,2021-08-01 00:00:00,Grade 10,Applied
APP000327,STU017485,SCH095,2024-07-19 00:00:00,Grade 6,Applied
APP000328,STU022145,SCH086,2026-03-25 00:00:00,Grade 7,Rejected
APP000329,STU014507,SCH040,2026-05-02 00:00:00,Grade 10,Applied
APP000330,STU015508,SCH051,2021-03-29 00:00:00,Grade 8,Applied
APP000331,STU014781,SCH090,2025-06-11 00:00:00,Grade 8,Accepted
APP000332,STU020830,SCH024,2021-09-11 00:00:00,Grade 11,Applied
APP000333,STU024637,SCH019,2022-05-09 00:00:00,Grade 7,Accepted
APP000334,STU021698,SCH016,2022-11-17 00:00:00,Grade 11,Accepted
APP000335,STU002758,SCH036,2025-01-23 00:00:00,Grade 10,Under Review
APP000336,STU024784,SCH049,2024-08-04 00:00:00,Grade 8,Applied
APP000337,STU015956,SCH083,2021-09-03 00:00:00,Grade 11,Under Review
APP000338,STU002519,SCH075,2021-12-20 00:00:00,Grade 7,Under Review
APP000339,STU024206,SCH005,2023-05-26 00:00:00,Grade 7,Applied
APP000340,STU005770,SCH010,2026-05-25 00:00:00,Grade 8,Accepted
APP000341,STU009285,SCH083,2023-09-21 00:00:00,Grade 11,Applied
APP000342,STU012919,SCH071,2023-09-02 00:00:00,Grade 7,Under Review
APP000343,STU009518,SCH018,2025-02-04 00:00:00,Grade 9,Accepted
APP000344,STU008015,SCH044,2022-09-02 00:00:00,Grade 10,Under Review
APP000345,STU015032,SCH018,2023-10-19 00:00:00,Grade 6,Under Review
APP000346,STU000049,SCH015,2025-10-22 00:00:00,Grade 7,Applied
APP000347,STU004712,SCH017,2026-06-26 00:00:00,Grade 8,Rejected
APP000348,STU011188,SCH034,2024-07-24 00:00:00,Grade 10,Accepted
APP000349,STU008539,SCH006,2023-04-13 00:00:00,Grade 7,Accepted
APP000350,STU017764,SCH062,2022-01-22 00:00:00,Grade 6,Applied
APP000351,STU009377,SCH029,2025-04-02 00:00:00,Grade 6,Accepted
APP000352,STU020974,SCH009,2021-10-13 00:00:00,Grade 11,Applied
APP000353,STU017763,SCH054,2022-11-06 00:00:00,Grade 11,Under Review
APP000354,STU016463,SCH084,2023-08-01 00:00:00,Grade 7,Applied
APP000355,STU023536,SCH088,2024-01-27 00:00:00,Grade 8,Applied
APP000356,STU015253,SCH054,2022-03-09 00:00:00,Grade 8,Accepted
APP000357,STU011463,SCH076,2022-03-13 00:00:00,Grade 6,Accepted
APP000358,STU014474,SCH009,2023-05-03 00:00:00,Grade 9,Accepted
APP000359,STU021929,SCH059,2022-10-20 00:00:00,Grade 8,Rejected
APP000360,STU018556,SCH094,2025-03-24 00:00:00,Grade 6,Applied
APP000361,STU009125,SCH084,2023-11-11 00:00:00,Grade 7,Applied
