enrollment_id,student_id,school_id,enrolled_at,status,fee_amount
ENR000255,STU006253,SCH086,2024-05-05 00:00:00,Enrolled,47537
ENR000256,STU023355,SCH070,2024-06-30 00:00:00,Enrolled,243590
ENR000257,STU012287,SCH100,2024-01-24 00:00:00,Enrolled,135972
ENR000258,STU010151,SCH055,2021-10-17 00:00:00,Enrolled,232826
ENR000259,STU019615,SCH025,2024-04-09 00:00:00,Enrolled,93695
ENR000260,STU018560,SCH081,2025-02-17 00:00:00,Enrolled,135956
ENR000261,STU002564,SCH036,2023-02-17 00:00:00,Enrolled,194752
ENR000262,STU012752,SCH082,2025-09-26 00:00:00,Enrolled,204054
ENR000263,STU000629,SCH054,2023-04-18 00:00:00,Enrolled,138609
ENR000264,STU003980,SCH049,2025-07-08 00:00:00,Enrolled,50823
ENR000265,STU016179,SCH060,2026-05-28 00:00:00,Enrolled,62914
ENR000266,STU006793,SCH057,2024-03-28 00:00:00,Enrolled,197224
ENR000267,STU001024,SCH092,2021-12-11 00:00:00,Enrolled,97408
ENR000268,STU008521,SCH068,2026-08-27 00:00:00,Enrolled,219165
ENR000269,STU008365,SCH046,2026-03-03 00:00:00,Enrolled,239175
ENR000270,STU006437,SCH085,2023-02-14 00:00:00,Enrolled,218874
ENR000271,STU016583,SCH090,2024-02-26 00:00:00,Enrolled,163192
ENR000272,STU023730,SCH057,2024-10-03 00:00:00,Enrolled,129008
ENR000273,STU015850,SCH033,2026-05-03 00:00:00,Enrolled,195933
ENR000274,STU012504,SCH048,2023-11-06 00:00:00,Enrolled,224326
ENR000275,STU018592,SCH025,2023-11-25 00:00:00,Enrolled,146760
ENR000276,STU006772,SCH093,2026-02-04 00:00:00,Enrolled,46787
ENR000277,STU022784,SCH091,2024-10-18 00:00:00,Enrolled,51267
ENR000278,STU010845,SCH022,2024-06-24 00:00:00,Enrolled,153033
ENR000279,STU009946,SCH099,2024-07-19 00:00:00,Enrolled,86719
ENR000280,STU023364,SCH041,2025-04-12 00:00:00,Enrolled,63452
ENR000281,STU015964,SCH073,2024-02-12 00:00:00,Enrolled,216881
ENR000282,STU004893,SCH047,2022-09-08 00:00:00,Enrolled,130376
ENR000283,STU003172,SCH004,2024-05-25 00:00:00,Enrolled,246538
ENR000284,STU006549,SCH092,2023-12-08 00:00:00,Enrolled,242762
ENR000285,STU005498,SCH070,2026-01-29 00:00:00,Enrolled,79262
ENR000286,STU018984,SCH067,2025-09-28 00:00:00,Enrolled,239243
ENR000287,STU013961,SCH035,2021-05-30 00:00:00,Enrolled,64648
ENR000288,STU020218,SCH018,2022-03-18 00:00:00,Enrolled,68340
ENR000289,STU019349,SCH031,2024-09-20 00:00:00,Enrolled,207069
ENR000290,STU020568,SCH046,2023-04-15 00:00:00,Enrolled,242396
ENR000291,STU007276,SCH069,2023-01-02 00:00:00,Enrolled,132361
ENR000292,STU000269,SCH016,2021-10-22 00:00:00,Enrolled,150974
ENR000293,STU004279,SCH054,2024-10-08 00:00:00,Enrolled,226650
ENR000294,STU010814,SCH004,2021-10-25 00:00:00,Withdrawn,245073
ENR000295,STU006519,SCH064,2025-08-22 00:00:00,Enrolled,59331
ENR000296,STU014547,SCH016,2024-11-01 00:00:00,Enrolled,160533
ENR000297,STU020088,SCH042,2021-04-28 00:00:00,Enrolled,184132
ENR000298,STU014056,SCH094,2026-03-06 00:00:00,Enrolled,217569
ENR000299,STU003154,SCH019,2023-05-22 00:00:00,Enrolled,57815
ENR000300,STU019064,SCH034,2023-01-08 00:00:00,Enrolled,76920
ENR000301,STU009605,SCH078,2025-04-08 00:00:00,Withdrawn,86573
ENR000302,STU016191,SCH064,2025-09-27 00:00:00,Enrolled,145923
ENR000303,STU014396,SCH094,2023-09-10 00:00:00,Enrolled,169186
ENR000304,STU022795,SCH060,2026-09-30 00:00:00,Enrolled,173625
ENR000305,STU003135,SCH037,2022-04-05 00:00:00,Enrolled,195750
ENR000306,STU018693,SCH068,2023-06-03 00:00:00,Withdrawn,105323
ENR000307,STU010763,SCH045,2024-09-27 00:00:00,Enrolled,171449
ENR000308,STU022121,SCH052,2024-05-24 00:00:00,Enrolled,167135
ENR000309,STU010533,SCH063,2021-11-22 00:00:00,Enrolled,149275
ENR000310,STU002358,SCH073,2024-07-20 00:00:00,Enrolled,105028
ENR000311,STU012513,SCH094,2021-05-21 00:00:00,Enrolled,189604
ENR000312,STU011488,SCH069,2023-11-09 00:00:00,Enrolled,142064
ENR000313,STU002443,SCH020,2025-05-08 00:00:00,Enrolled,229595
ENR000314,STU003448,SCH041,2021-12-25 00:00:00,Enrolled,180572
ENR000315,STU012758,SCH036,2023-08-14 00:00:00,Enrolled,197906
ENR000316,STU011538,SCH049,2025-08-10 00:00:00,Enrolled,82880
ENR000317,STU016054,SCH098,2026-03-22 00:00:00,Enrolled,108559
ENR000318,STU018660,SCH088,2023-06-30 00:00:00,Enrolled,244344
ENR000319,STU006256,SCH067,2023-04-19 00:00:00,Enrolled,107689
ENR000320,STU007982,SCH058,2024-03-25 00:00:00,Enrolled,100039
ENR000321,STU012777,SCH013,2023-10-19 00:00:00,Withdrawn,113455
ENR000322,STU009411,SCH010,2024-04-22 00:00:00,Enrolled,241154
ENR000323,STU019031,SCH084,2025-12-11 00:00:00,Enrolled,91373
ENR000324,STU010571,SCH049,2024-11-27 00:00:00,Enrolled,243197
ENR000325,STU019163,SCH038,2023-01-04 00:00:00,Enrolled,142882
ENR000326,STU007077,SCH053,2022-08-18 00:00:00,Enrolled,48509
ENR000327,STU018846,SCH087,2025-11-02 00:00:00,Enrolled,165631
ENR000328,STU006306,SCH042,2022-08-15 00:00:00,Enrolled,117755
ENR000329,STU022144,SCH051,2025-04-23 00:00:00,Enrolled,224097
ENR000330,STU000165,SCH057,2022-10-18 00:00:00,Enrolled,144089
ENR000331,STU019165,SCH072,2022-09-19 00:00:00,Enrolled,166731
ENR000332,STU014483,SCH005,2025-01-13 00:00:00,Enrolled,183166
ENR000333,STU005652,SCH023,2025-04-18 00:00:00,Enrolled,68470
ENR000334,STU018892,SCH057,2021-03-23 00:00:00,Enrolled,83835
ENR000335,STU002523,SCH028,2026-04-09 00:00:00,Enrolled,55843
ENR000336,STU021694,SCH004,2026-02-18 00:00:00,Enrolled,152009
ENR000337,STU006999,SCH050,2022-01-10 00:00:00,Enrolled,79002
ENR000338,STU010150,SCH055,2025-10-16 00:00:00,Enrolled,52870
ENR000339,STU017822,SCH057,2022-07-16 00:00:00,Enrolled,202913
ENR000340,STU021542,SCH033,2023-06-26 00:00:00,Enrolled,73461
ENR000341,STU007535,SCH053,2021-07-12 00:00:00,Enrolled,206804
ENR000342,STU004415,SCH043,2025-12-01 00:00:00,Enrolled,164546
ENR000343,STU006317,SCH025,2023-06-03 00:00:00,Enrolled,209198
ENR000344,STU023366,SCH047,2026-02-17 00:00:00,Enrolled,106991
ENR000345,STU016474,SCH008,2023-07-12 00:00:00,Enrolled,230278
ENR000346,STU013504,SCH005,2021-12-04 00:00:00,Enrolled,106532
ENR000347,STU009553,SCH033,2022-10-06 00:00:00,Enrolled,171296
ENR000348,STU002434,SCH007,2026-05-05 00:00:00,Enrolled,65330
ENR000349,STU005234,SCH041,2025-05-22 00:00:00,Enrolled,75957
ENR000350,STU017283,SCH004,2023-09-16 00:00:00,Enrolled,93733
ENR000351,STU004516,SCH098,2026-01-08 00:00:00,Enrolled,222902
ENR000352,STU005304,SCH083,2021-11-29 00:00:00,Enrolled,235297
ENR000353,STU014534,SCH024,2026-04-01 00:00:00,Enrolled,159557
ENR000354,STU005429,SCH086,2021-06-29 00:00:00,Enrolled,86360
ENR000355,STU024217,SCH047,2023-04-18 00:00:00,Enrolled,147523
ENR000356,STU009359,SCH046,2021-03-09 00:00:00,Enrolled,54351
ENR000357,STU008250,SCH066,2024-01-12 00:00:00,Enrolled,146197
ENR000358,STU010553,SCH016,2022-05-04 00:00:00,Enrolled,49034
ENR000359,STU013009,SCH002,2022-04-02 00:00:00,Enrolled,204881
ENR000360,STU024632,SCH062,2021-12-12 00:00:00,Enrolled,190056
ENR000361,STU015674,SCH026,2024-11-03 00:00:00,Enrolled,193956
ENR000362,STU000463,SCH019,2026-05-15 00:00:00,Enrolled,156400
ENR000363,STU004213,SCH067,2026-06-06 00:00:00,Enrolled,72460
ENR000364,STU018289,SCH034,2026-08-04 00:00:00,Enrolled,157459
ENR000365,STU019611,SCH039,2023-12-02 00:00:00,Enrolled,188111
ENR000366,STU007443,SCH092,2024-07-10 00:00:00,Enrolled,159371
